longitude,latitude,name,description
151269542,59562478,Ola (Magadan),Ola (Magadan) (Russia)
143027846,53604604,Okha (Sakhalin),Okha (Sakhalin) ()
156271266,52829573,Ust-Bolsheretsk (Kamchatka),Ust-Bolsheretsk (Kamchatka) (Russia)
14420088,23042527,Walvis Bay,Walvis Bay (Namibia)
100490556,5121000,Parit Buntar,Parit Buntar (Malaysia)
103500000,10633333,Sihanoukville,Sihanoukville (Cambodia)
119550000,25916667,Changle,Changle (China)
28266667,36850000,Marmaris,Marmaris (Turkey)
103392902,4127000,Cherating,Cherating (Malaysia)
101278000,12681648,Rayong,Rayong (Thailand)
103959976,1320833,Tanah Merah,Tanah Merah (Singapore)
169916667,19050000,Niue,Niue (Niue)
159766667,21200000,Avarua,Avarua (Cook Islands)
171215000,9365000,Fakafo,Fakafo (Tokelau)
31101667,39702000,Corvo,Corvo (Portugal)
28712500,38576000,Faial,Faial (Portugal)
28014167,39051000,Graciosa,Graciosa (Portugal)
31227222,39467000,Flores,Flores (Portugal)
11747499,54156387,Rostock,Rostock (Germany)
2984639,53627000,Merseyside,Merseyside (UK)
